,Tree ID,Species Name,DBH,Height,Crown Height,Crown Width,Canopy Cover,Tree Condition,Leaf Area,Leaf Biomass,Leaf Area Index,Basal Area,,Native to State
,,,(cm),(m),(m),(m),(m²),,(m²),(kg),,(m²),,
,634,Ostrya carpinifolia,18.00,6.00,1.80,4.00,12.60,FAIR,21.60,1.40,1.70,0.00,,
,635,Robinia pseudoacacia,65.00,16.00,4.80,8.00,50.30,FAIR,167.80,9.00,3.30,0.30,,
,636,Celtis australis,166.00,6.00,1.80,6.00,28.30,FAIR,115.30,6.80,4.10,2.20,,
,637,Celtis australis,14.00,5.50,1.70,5.00,19.60,FAIR,34.30,2.00,1.70,0.00,,
,638,Celtis australis,16.00,6.50,1.90,6.00,28.30,FAIR,55.00,3.20,1.90,0.00,,
,639,Betula pendula,16.00,8.00,2.40,4.00,12.60,FAIR,24.20,1.40,1.90,0.00,,
,640,Betula pendula,28.00,13.00,3.90,7.00,38.50,FAIR,97.50,5.80,2.50,0.10,,
,641,Betula pendula,18.00,9.00,2.70,5.00,19.60,FAIR,35.10,2.10,1.80,0.00,,
,642,Robinia pseudoacacia,50.00,14.00,4.20,10.00,78.50,FAIR,269.80,14.50,3.40,0.20,,
,643,Robinia pseudoacacia,42.00,14.00,4.20,12.00,113.10,FAIR,284.40,15.30,2.50,0.10,,
,644,Celtis australis,19.00,4.50,1.30,5.00,19.60,FAIR,36.20,2.10,1.80,0.00,,
,645,Celtis australis,17.00,5.00,1.50,5.00,19.60,FAIR,31.70,1.90,1.60,0.00,,
,646,Celtis australis,17.00,4.50,1.30,5.00,19.60,FAIR,34.90,2.10,1.80,0.00,,
,647,Celtis australis,15.00,4.50,1.30,5.00,19.60,FAIR,33.30,2.00,1.70,0.00,,
,651,Sorbus,5.00,1.00,0.30,1.00,0.80,FAIR,0.80,0.10,1.00,0.00,,
,670,Robinia pseudoacacia,22.00,15.00,4.50,9.00,63.60,FAIR,160.50,8.60,2.50,0.00,,
,671,Acer platanoides,18.00,12.00,3.60,5.00,19.60,FAIR,61.50,3.30,3.10,0.00,,
,672,Acer platanoides,11.00,5.00,1.50,3.00,7.10,FAIR,10.60,0.60,1.50,0.00,,
,673,Acer platanoides,25.00,12.00,3.60,10.00,78.50,FAIR,236.90,12.80,3.00,0.00,,
,674,Picea abies,32.00,12.00,3.60,8.00,50.30,FAIR,195.10,32.50,3.90,0.10,,
,675,Acer platanoides,28.00,12.00,3.60,8.00,50.30,FAIR,167.60,9.00,3.30,0.10,,
,691,Quercus robur,32.00,12.00,3.60,12.00,113.10,FAIR,315.80,21.00,2.80,0.10,,
,703,Pinus nigra,38.00,13.00,3.90,8.00,50.30,FAIR,213.20,20.60,4.20,0.10,,
,723,Pyrus calleryana,16.00,6.00,1.80,4.00,12.60,FAIR,19.30,1.50,1.50,0.00,,
,724,Pyrus calleryana,15.00,5.00,1.50,3.00,7.10,FAIR,10.40,0.80,1.50,0.00,,
,725,Pyrus calleryana,15.00,5.00,1.50,3.00,7.10,FAIR,11.20,0.80,1.60,0.00,,
,726,Pyrus calleryana,12.00,5.00,1.50,3.00,7.10,FAIR,12.50,0.90,1.80,0.00,,
,727,Liriodendron tulipifera,17.00,7.00,2.10,4.00,12.60,FAIR,27.10,1.60,2.20,0.00,,
,728,Liriodendron tulipifera,16.00,7.00,2.10,4.00,12.60,FAIR,20.40,1.20,1.60,0.00,,
,729,Liriodendron tulipifera,18.00,7.00,2.10,4.00,12.60,FAIR,27.60,1.60,2.20,0.00,,
,730,Liriodendron tulipifera,18.00,7.00,2.10,4.00,12.60,FAIR,24.40,1.40,1.90,0.00,,
,731,Liriodendron tulipifera,18.00,7.00,2.10,4.00,12.60,FAIR,22.80,1.30,1.80,0.00,,
,732,Acer campestre,18.00,11.00,3.30,8.00,50.30,FAIR,115.40,6.50,2.30,0.00,,
,733,Liriodendron tulipifera,13.00,5.00,1.50,3.00,7.10,FAIR,12.80,0.80,1.80,0.00,,
,736,Pinus nigra,40.00,15.00,4.50,9.00,63.60,FAIR,256.40,24.70,4.00,0.10,,
,739,Liriodendron tulipifera,20.00,12.00,3.60,4.00,12.60,FAIR,38.70,2.30,3.10,0.00,,
,746,Acer,14.00,8.00,2.40,6.00,28.30,FAIR,61.80,3.50,2.20,0.00,,
,747,Juglans,22.00,12.00,3.60,8.00,50.30,FAIR,152.10,8.40,3.00,0.00,,
