TreeID,SpeciesName,DBH,ReplacementValue,CarbonStorage,GrossCarbonSequestration,AvoidedRunoff,PollutionRemoval,TotalAnnualBenefits
1345,Ulmus,28,1287.31,357.4,9.5,0,20.9,1.68
1346,Pyrus communis,20,842.45,107.4,5.3,0,15.5,0.98
1347,Pyrus communis,40,2391.39,586,6.4,0,31.9,1.27
1348,Pyrus communis,20,842.45,107.4,5.3,0,12,0.95
1366,Celtis australis,24,1102.56,39.2,1.1,0.2,162.4,1.41
1367,Betula pendula,33,1658.24,338.9,10.3,0.5,384.2,4.55
1368,Betula pendula,29,1356.63,246.2,8.5,0.3,211.6,2.96
1372,Magnolia x soulangeana,10,318.19,20,1.5,0.2,140,1.3
1373,Parrotia persica,9,225.72,15.7,0.9,0.1,46,0.49
1374,Parrotia persica,9,225.72,15.7,0.9,0,37.1,0.43
1375,Parrotia persica,9,225.72,15.7,0.9,0.1,62.8,0.62
1397,Carpinus betulus,9,225.72,21.5,1.5,0,11.2,0.32
1398,Carpinus betulus,9,225.72,21.5,1.5,0,12.1,0.33
1399,Carpinus betulus,10,278.67,26.5,1.7,0,9,0.34
1400,Carpinus betulus,10,278.67,26.5,1.7,0,19.7,0.42
1401,Carpinus betulus,10,278.67,26.5,1.7,0,9.7,0.34
1402,Tilia cordata,6,129.77,4.5,0.6,0,4.9,0.13
1403,Tilia cordata,6,129.77,4.5,0.6,0,4.3,0.12
1404,Tilia cordata,13,569.19,27.9,1.6,0,28.5,0.47
1406,Platanus x hispanica,29,1447.87,268.1,7.1,0.5,365.4,3.89
1407,Carpinus betulus,9,225.72,21.5,1.5,0,11.7,0.33
1408,Carpinus betulus,12,512,38.5,2.1,0,16.6,0.46
1409,Carpinus betulus,9,225.72,21.5,1.5,0,9,0.31
1410,Tilia cordata,12,527.45,23.1,1.4,0,14.3,0.34
1411,Tilia cordata,8,230.7,8.9,0.8,0,0.5,0.14
1412,Tilia cordata,16,714.45,45.5,2.1,0.1,99.4,1.08
1413,Tilia cordata,9,291.98,11.7,1,0,6.5,0.2
1414,Tilia cordata,18,827.99,60,2.4,0.1,103.6,1.17
1415,Tilia cordata,8,230.7,8.9,0.8,0,4.9,0.17
1416,Tilia cordata,8,230.7,8.9,0.8,0,4.8,0.17
1417,Tilia cordata,8,230.7,8.9,0.8,0,4.1,0.16
1418,Tilia cordata,13,569.19,27.9,1.6,0,32.8,0.5
1419,Tilia cordata,15,662.69,39,1.9,0,28.2,0.52
1420,Tilia cordata,13,569.19,27.9,1.6,0,26.8,0.46
1421,Tilia cordata,7,176.63,6.5,0.7,0,3.8,0.14
1422,Tilia cordata,12,527.45,23.1,1.4,0,29.1,0.45
1423,Tilia cordata,8,230.7,8.9,0.8,0,5.8,0.18
1424,Tilia cordata,18,827.99,60,2.4,0,39.1,0.69
1425,Tilia cordata,7,176.63,6.5,0.7,0,6.3,0.16
1426,Tilia cordata,19,889.77,68.2,2.6,0.1,42.3,0.74
1427,Tilia cordata,7,176.63,6.5,0.7,0,4.3,0.14
1428,Tilia cordata,7,176.63,6.5,0.7,0,4,0.14
1429,Tilia cordata,9,291.98,11.7,1,0,12.9,0.25
1430,Tilia cordata,11,489.05,18.8,1.3,0,16,0.32
1431,Tilia cordata,14,614.27,33.2,1.7,0,28.7,0.5
1432,Tilia cordata,6,129.77,4.5,0.6,0,3.6,0.12
1433,Tilia cordata,7,176.63,6.5,0.7,0,3.5,0.14
1434,Tilia cordata,7,176.63,6.5,0.7,0,4.5,0.15
1435,Tilia cordata,13,569.19,27.9,1.6,0,16.9,0.38
1436,Tilia cordata,15,662.69,39,1.9,0,33.5,0.56
1437,Tilia cordata,6,129.77,4.5,0.6,0,4.3,0.12
1438,Tilia cordata,6,129.77,4.5,0.6,0,3.8,0.12
1439,Tilia cordata,6,129.77,4.5,0.6,0,4.3,0.12
