Tree ID,Species Name,DBH,Replacement Value,Carbon Storage,,"Gross Carbon
Sequestration",,Avoided Runoff,,Carbon Avoided,,Pollution Removal,,"Energy
Savings","Total Annual
Benefits"
,,(cm),(€),(kg),(€),(kg/yr),(€/yr),(m³/yr),(€/yr),(kg/yr),(€/yr),(g/yr),(€/yr),(€/yr),(€/yr)
643,Robinia pseudoacacia,42.00,1862.95,409.90,65.85,9.70,1.55,0.50,0.99,N/A,N/A,412.50,2.12,N/A,4.66
644,Celtis australis,19.00,810.06,26.30,4.22,1.00,0.15,0.10,0.13,N/A,N/A,52.60,0.27,N/A,0.55
645,Celtis australis,17.00,712.11,21.70,3.49,0.90,0.14,0.10,0.11,N/A,N/A,46.00,0.24,N/A,0.49
646,Celtis australis,17.00,712.11,21.70,3.49,0.90,0.14,0.10,0.12,N/A,N/A,50.60,0.26,N/A,0.52
647,Celtis australis,15.00,625.04,17.50,2.81,0.80,0.13,0.10,0.12,N/A,N/A,48.40,0.25,N/A,0.49
651,Sorbus,5.00,69.67,5.70,0.92,0.90,0.15,0.00,0.00,N/A,N/A,1.20,0.01,N/A,0.15
670,Robinia pseudoacacia,22.00,781.18,86.30,13.86,3.80,0.61,0.30,0.56,N/A,N/A,232.90,1.20,N/A,2.36
671,Acer platanoides,18.00,755.18,92.40,14.84,4.50,0.73,0.10,0.21,N/A,N/A,89.20,0.46,N/A,1.40
672,Acer platanoides,11.00,483.19,26.20,4.21,2.20,0.35,0.00,0.04,N/A,N/A,15.40,0.08,N/A,0.47
673,Acer platanoides,25.00,1158.47,186.90,30.03,6.70,1.08,0.40,0.82,N/A,N/A,343.70,1.77,N/A,3.67
674,Picea abies,32.00,1707.61,268.40,43.13,3.80,0.60,0.40,0.68,N/A,N/A,283.00,1.46,N/A,2.74
675,Acer platanoides,28.00,1371.50,239.00,38.39,7.70,1.23,0.30,0.58,N/A,N/A,243.10,1.25,N/A,3.07
691,Quercus robur,32.00,1958.78,319.90,51.40,8.00,1.29,0.60,1.10,N/A,N/A,458.10,2.36,N/A,4.74
703,Pinus nigra,38.00,2209.17,234.70,37.70,4.30,0.68,0.40,0.74,N/A,N/A,309.30,1.59,N/A,3.01
723,Pyrus calleryana,16.00,656.57,59.20,9.52,2.80,0.45,0.00,0.07,N/A,N/A,28.00,0.14,N/A,0.67
724,Pyrus calleryana,15.00,616.56,50.60,8.13,2.60,0.41,0.00,0.04,N/A,N/A,15.10,0.08,N/A,0.53
725,Pyrus calleryana,15.00,616.56,50.60,8.13,2.60,0.41,0.00,0.04,N/A,N/A,16.30,0.08,N/A,0.54
726,Pyrus calleryana,12.00,512.00,29.30,4.71,1.90,0.30,0.00,0.04,N/A,N/A,18.20,0.09,N/A,0.44
727,Liriodendron tulipifera,17.00,746.58,51.70,8.30,3.00,0.48,0.00,0.09,N/A,N/A,39.20,0.20,N/A,0.78
728,Liriodendron tulipifera,16.00,695.56,44.70,7.18,2.70,0.44,0.00,0.07,N/A,N/A,29.60,0.15,N/A,0.66
729,Liriodendron tulipifera,18.00,800.68,59.30,9.53,3.20,0.52,0.10,0.10,N/A,N/A,40.00,0.21,N/A,0.82
730,Liriodendron tulipifera,18.00,800.68,59.30,9.53,3.20,0.52,0.00,0.08,N/A,N/A,35.40,0.18,N/A,0.79
731,Liriodendron tulipifera,18.00,800.68,59.30,9.53,3.20,0.52,0.00,0.08,N/A,N/A,33.10,0.17,N/A,0.77
732,Acer campestre,18.00,791.58,90.30,14.52,2.40,0.38,0.20,0.40,N/A,N/A,167.50,0.86,N/A,1.64
733,Liriodendron tulipifera,13.00,561.06,27.10,4.35,2.10,0.33,0.00,0.04,N/A,N/A,18.60,0.10,N/A,0.47
736,Pinus nigra,40.00,2416.09,271.00,43.54,4.60,0.75,0.50,0.89,N/A,N/A,371.90,1.91,N/A,3.55
739,Liriodendron tulipifera,20.00,918.18,76.50,12.29,3.80,0.60,0.10,0.13,N/A,N/A,56.20,0.29,N/A,1.03
746,Acer,14.00,598.97,93.90,15.08,4.60,0.74,0.10,0.21,N/A,N/A,89.70,0.46,N/A,1.41
747,Juglans,22.00,901.53,137.00,22.01,4.70,0.76,0.30,0.53,N/A,N/A,220.70,1.13,N/A,2.42
748,Acacia,40.00,2391.39,160.30,25.75,1.30,0.20,0.60,1.22,N/A,N/A,507.80,2.61,N/A,4.03
911,Crataegus,9.00,225.72,12.60,2.02,1.10,0.17,0.00,0.03,N/A,N/A,12.30,0.06,N/A,0.27
912,Crataegus,9.00,225.72,12.60,2.02,1.10,0.17,0.00,0.04,N/A,N/A,16.00,0.08,N/A,0.29
913,Crataegus,10.00,278.67,16.30,2.61,1.30,0.20,0.00,0.04,N/A,N/A,16.60,0.09,N/A,0.33
914,Crataegus,10.00,278.67,16.30,2.61,1.30,0.20,0.00,0.04,N/A,N/A,16.60,0.09,N/A,0.33
915,Crataegus,10.00,278.67,16.30,2.61,1.30,0.20,0.00,0.03,N/A,N/A,13.50,0.07,N/A,0.30
916,Crataegus,10.00,278.67,16.30,2.61,1.30,0.20,0.00,0.02,N/A,N/A,10.40,0.05,N/A,0.28
917,Crataegus,9.00,225.72,12.60,2.02,1.10,0.17,0.00,0.01,N/A,N/A,5.50,0.03,N/A,0.21
918,Crataegus,10.00,278.67,16.30,2.61,1.30,0.20,0.00,0.02,N/A,N/A,7.40,0.04,N/A,0.26
920,Crataegus,8.00,178.35,9.40,1.51,0.90,0.15,0.00,0.01,N/A,N/A,4.50,0.02,N/A,0.18
921,Crataegus,8.00,178.35,9.40,1.51,0.90,0.15,0.00,0.01,N/A,N/A,4.00,0.02,N/A,0.18
922,Crataegus,8.00,178.35,9.40,1.51,0.90,0.15,0.00,0.02,N/A,N/A,6.80,0.04,N/A,0.20
923,Crataegus,8.00,178.35,9.40,1.51,0.90,0.15,0.00,0.01,N/A,N/A,4.50,0.02,N/A,0.18
924,Crataegus,8.00,178.35,9.40,1.51,0.90,0.15,0.00,0.01,N/A,N/A,3.70,0.02,N/A,0.17
925,Crataegus,8.00,178.35,9.40,1.51,0.90,0.15,0.00,0.01,N/A,N/A,4.50,0.02,N/A,0.18
926,Crataegus,8.00,178.35,9.40,1.51,0.90,0.15,0.00,0.01,N/A,N/A,4.20,0.02,N/A,0.18
927,Crataegus,8.00,178.35,9.40,1.51,0.90,0.15,0.00,0.01,N/A,N/A,4.50,0.02,N/A,0.18
928,Crataegus,8.00,178.35,9.40,1.51,0.90,0.15,0.00,0.01,N/A,N/A,4.50,0.02,N/A,0.18
929,Koelreuteria paniculata,18.00,744.35,86.70,13.92,2.50,0.41,0.10,0.11,N/A,N/A,44.40,0.23,N/A,0.74
930,Koelreuteria paniculata,16.00,656.57,64.10,10.31,2.10,0.34,0.00,0.08,N/A,N/A,32.00,0.16,N/A,0.58
931,Celtis australis,15.00,625.04,17.50,2.81,0.80,0.13,0.00,0.07,N/A,N/A,28.70,0.15,N/A,0.35
932,Celtis australis,14.00,585.59,15.60,2.50,0.80,0.12,0.00,0.05,N/A,N/A,21.60,0.11,N/A,0.29
933,Celtis australis,14.00,585.59,15.60,2.50,0.80,0.12,0.00,0.05,N/A,N/A,21.60,0.11,N/A,0.29
934,Celtis australis,14.00,585.59,15.60,2.50,0.80,0.12,0.00,0.07,N/A,N/A,28.00,0.14,N/A,0.34
935,Celtis australis,14.00,585.59,15.60,2.50,0.80,0.12,0.00,0.07,N/A,N/A,28.00,0.14,N/A,0.34
936,Celtis australis,13.00,548.86,13.70,2.20,0.70,0.12,0.00,0.05,N/A,N/A,21.00,0.11,N/A,0.28
