,Tree ID,Species Name,Oxygen Production
,,,(kg/yr)
,1495,Carpinus betulus,3.00
,1496,Carpinus betulus,3.00
,1497,Celtis australis,2.60
,1499,Tilia cordata,5.10
,1500,Tilia cordata,4.20
,1501,Tilia cordata,5.10
,1502,Tilia cordata,4.70
,1503,Tilia cordata,5.60
,1504,Tilia cordata,4.20
,1505,Tilia cordata,5.60
,1506,Tilia cordata,3.00
,1507,Tilia cordata,1.80
,1508,Tilia cordata,4.70
,1509,Tilia cordata,4.20
,1510,Tilia cordata,1.80
,1511,Tilia cordata,2.20
,1512,Tilia cordata,1.80
,1513,Tilia cordata,2.60
,1514,Tilia cordata,1.80
,1515,Tilia cordata,1.80
,1516,Tilia cordata,1.80
,1517,Tilia cordata,3.40
,1518,Tilia cordata,3.80
,1519,Tilia cordata,1.50
,1520,Tilia cordata,4.70
,1521,Tilia cordata,4.20
,1522,Tilia cordata,2.60
,1523,Tilia cordata,3.00
,1524,Tilia cordata,3.00
,1525,Tilia cordata,3.80
,1526,Tilia cordata,3.00
,1527,Tilia cordata,2.60
,1576,Celtis australis,2.10
,1577,Celtis australis,2.10
,1578,Celtis australis,2.10
,1582,Celtis australis,2.10
,1583,Celtis australis,2.10
,1584,Celtis australis,2.10
,1585,Celtis australis,2.10
,1612,Celtis australis,2.10
,1613,Celtis australis,2.10
,1614,Celtis australis,2.10
,1615,Celtis australis,2.10
,1616,Celtis australis,1.70
,1617,Celtis australis,1.70
,1618,Celtis australis,1.70
,1619,Celtis australis,2.10
,1620,Celtis australis,2.10
,1621,Celtis australis,2.10
,1622,Celtis australis,2.00
,1623,Celtis australis,2.10
,1624,Celtis australis,1.80
,1625,Celtis australis,1.80
,1626,Celtis australis,2.30
,1627,Celtis australis,1.80
,1628,Celtis australis,1.80
,1629,Celtis australis,1.80
,1630,Celtis australis,1.50
,1631,Celtis australis,1.70
,1632,Celtis australis,2.10
,1633,Celtis australis,1.70
,1634,Celtis australis,1.70
,1635,Celtis australis,1.70
,1636,Celtis australis,1.70
,1637,Celtis australis,1.50
,1638,Celtis australis,1.70
,1639,Celtis australis,1.70
,1640,Celtis australis,2.10
,1641,Celtis australis,2.10
,1642,Celtis australis,2.10
,1643,Celtis australis,2.10
,1644,Celtis australis,2.10
,1645,Celtis australis,2.10
,1646,Celtis australis,2.10
,1647,Celtis australis,2.10
,1648,Celtis australis,2.10
,1649,Celtis australis,2.10
,1650,Celtis australis,2.10
,1651,Celtis australis,2.10
,1652,Celtis australis,2.10
,1653,Tilia cordata,3.00
,1654,Tilia,7.10
,1655,Tilia cordata,3.00
,1656,Tilia cordata,3.00
